# What each file asks OpenCV for (P7-T01)

Generated by the inventory pass of P7-T01, from `git grep -ln "opencv2/"`
over `library/`, `tools/`, `plugins/` and `python/`. The areas are
`lite-removals.md` section 2's. `plugins/` is in scope even though the plan's
task text names only `library/` and `tools/`: phase 2 has not moved those
directories yet, so most of what phase 7 describes still lives there.

`plugins/pytorch/learn` is excluded -- the python packages vendored there
carry their own OpenCV and become wheels in phase 9.

## Files per area

| Area | Files |
|---|---:|
| 2.1 bridge | 92 |
| 2.2 codecs | 10 |
| 2.3 imgproc | 33 |
| 2.4 calib3d | 12 |
| 2.5 FileStorage | 4 |
| 2.6 ml/features/seg | 14 |
| drawing | 4 |

A file counts once per area it touches, so the column sums past 96.

## The API surface, by how many files want it

Class and free-function names under `cv::`, with the bridge types
(`Mat`, `Rect`, `Point`, `Size`, `Scalar`, `Vec*`, `Ptr`, ...) left out:
those are section 2.1 and every file has them.

| Name | Files |
|---|---:|
| `cv::cvtColor` | 12 |
| `cv::split` | 8 |
| `cv::imwrite` | 7 |
| `cv::resize` | 6 |
| `cv::threshold` | 5 |
| `cv::merge` | 5 |
| `cv::minMaxLoc` | 5 |
| `cv::normalize` | 5 |
| `cv::COLOR_BGR2GRAY` | 5 |
| `cv::THRESH_BINARY` | 4 |
| `cv::FONT_HERSHEY_SIMPLEX` | 4 |
| `cv::putText` | 4 |
| `cv::BORDER_CONSTANT` | 4 |
| `cv::NORM_MINMAX` | 4 |
| `cv::findContours` | 4 |
| `cv::GaussianBlur` | 4 |
| `cv::WINDOW_NORMAL` | 4 |
| `cv::undistortPoints` | 4 |
| `cv::FileStorage` | 4 |
| `cv::ml` | 4 |
| `cv::KeyPoint` | 3 |
| `cv::FeatureDetector` | 3 |
| `cv::addWeighted` | 3 |
| `cv::getTextSize` | 3 |
| `cv::DescriptorExtractor` | 3 |
| `cv::CHAIN_APPROX_SIMPLE` | 3 |
| `cv::erode` | 3 |
| `cv::getStructuringElement` | 3 |
| `cv::subtract` | 3 |
| `cv::CALIB_ZERO_DISPARITY` | 3 |
| `cv::initUndistortRectifyMap` | 3 |
| `cv::stereoRectify` | 3 |
| `cv::COLOR_BGR2Lab` | 3 |
| `cv::COLOR_Lab2BGR` | 3 |
| `cv::INTER_NEAREST` | 3 |
| `cv::COLOR_BGR2HSV` | 3 |
| `cv::COLOR_HSV2BGR` | 3 |
| `cv::FILLED` | 2 |
| `cv::rectangle` | 2 |
| `cv::xfeatures2d` | 2 |
| `cv::DMatch` | 2 |
| `cv::RETR_EXTERNAL` | 2 |
| `cv::MORPH_RECT` | 2 |
| `cv::dilate` | 2 |
| `cv::max` | 2 |
| `cv::mat` | 2 |
| `cv::copyMakeBorder` | 2 |
| `cv::imread` | 2 |
| `cv::COLOR_BGRA2GRAY` | 2 |
| `cv::INTER_LINEAR` | 2 |
| `cv::circle` | 2 |
| `cv::line` | 2 |
| `cv::matchTemplate` | 2 |
| `cv::projectPoints` | 2 |
| `cv::remap` | 2 |
| `cv::RETR_CCOMP` | 2 |
| `cv::approxPolyDP` | 2 |
| `cv::COLOR_GRAY2RGB` | 2 |
| `cv::norm` | 2 |
| `cv::CLAHE` | 2 |
| `cv::LUT` | 2 |
| `cv::createCLAHE` | 2 |
| `cv::divide` | 2 |
| `cv::CALIB_FIX_ASPECT_RATIO` | 2 |
| `cv::CALIB_FIX_INTRINSIC` | 2 |
| `cv::CALIB_FIX_K1` | 2 |
| `cv::CALIB_FIX_K2` | 2 |
| `cv::CALIB_FIX_K3` | 2 |
| `cv::CALIB_FIX_PRINCIPAL_POINT` | 2 |
| `cv::CALIB_ZERO_TANGENT_DIST` | 2 |
| `cv::TermCriteria` | 2 |
| `cv::calibrateCamera` | 2 |
| `cv::stereoCalibrate` | 2 |
| `cv::blur` | 2 |
| `cv::filter2D` | 2 |
| `cv::ximgproc` | 2 |
| `cv::Rodrigues` | 2 |
| `cv::FM_RANSAC` | 1 |
| `cv::findFundamentalMat` | 1 |
| `cv::RANSAC` | 1 |
| `cv::findHomography` | 1 |
| `cv::SIFT` | 1 |
| `cv::SURF` | 1 |
| `cv::boundingRect` | 1 |
| `cv::boxFilter` | 1 |
| `cv::contourArea` | 1 |
| `cv::pyrDown` | 1 |
| `cv::THRESH_TOZERO` | 1 |
