# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs
# Written on: Mon May 21 07:21:53 2018   by: write_detected_object_set_viame_csv
0,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,0,3,35,17,0.00136197,0,fish,0.00136197
1,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,0,3,100,17,0.0041172,0,fish,0.0041172
2,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,48,3,173,21,0.0236131,0,fish,0.0236131
3,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,98,4,252,17,0.00247535,0,fish,0.00247535
4,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,167,4,316,15,0.0019981,0,fish,0.0019981
5,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,234,4,377,17,0.00458632,0,fish,0.00458632
6,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,293,3,437,18,0.0193733,0,fish,0.0193733
7,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,365,6,498,21,0.0125389,0,fish,0.0125389
8,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,429,4,543,20,0.0023908,0,fish,0.0023908
9,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,503,2,543,19,0.00170768,0,fish,0.00170768
10,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,49,30,110,57,0.00313273,0,fish,0.00313273
11,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,73,31,146,59,0.00500626,0,fish,0.00500626
12,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,104,33,180,58,0.00389594,0,fish,0.00389594
13,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,139,34,209,58,0.00457692,0,fish,0.00457692
14,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,174,34,240,59,0.00328395,0,fish,0.00328395
15,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,201,36,277,60,0.00321905,0,fish,0.00321905
16,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,265,34,347,65,0.00126737,0,fish,0.00126737
17,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,329,48,454,68,0.00290455,0,fish,0.00290455
18,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,390,36,473,59,0.00447045,0,fish,0.00447045
19,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,422,28,507,57,0.0037519,0,fish,0.0037519
20,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,463,27,524,64,0.00179097,0,fish,0.00179097
21,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,514,18,539,75,0.00158096,0,fish,0.00158096
22,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,156,68,193,88,0.0012414,0,fish,0.0012414
23,03142_D20160630-T162918.657_00-0C-DF-06-40-BF.png,0,188,70,226,90,0.00157675,0,fish,0.00157675
